run_id,wtime,pss,label,pred_iso,score_iso,anomaly_type,flag_type
normal_mem_01,0,147669,0,0,0.389551656178759,mem_normal,TN
normal_mem_01,2,147669,0,0,0.3649443210339528,mem_normal,TN
normal_mem_01,4,147665,0,0,0.3651058505147485,mem_normal,TN
normal_mem_01,6,147665,0,0,0.3448720030420021,mem_normal,TN
normal_mem_01,8,147666,0,0,0.34540105543968025,mem_normal,TN
normal_mem_01,10,147666,0,0,0.33993810294729426,mem_normal,TN
normal_mem_01,12,147666,0,0,0.33750475603256747,mem_normal,TN
normal_mem_01,14,147666,0,0,0.3364556259101017,mem_normal,TN
normal_mem_01,16,147666,0,0,0.33596920820506554,mem_normal,TN
normal_mem_01,18,147672,0,0,0.34984930313991563,mem_normal,TN
normal_mem_01,20,147672,0,0,0.33478757415658306,mem_normal,TN
normal_mem_01,22,147672,0,0,0.33478757415658306,mem_normal,TN
normal_mem_01,24,147672,0,0,0.33458387880566476,mem_normal,TN
normal_mem_01,26,146958,0,0,0.39286595842446137,mem_normal,TN
normal_mem_01,28,147231,0,0,0.4083709457122711,mem_normal,TN
normal_mem_01,30,147231,0,0,0.3330869583028157,mem_normal,TN
normal_mem_01,32,147372,0,0,0.384016495367162,mem_normal,TN
normal_mem_01,34,147372,0,0,0.3310021774564006,mem_normal,TN
normal_mem_01,36,147372,0,0,0.3305716734589513,mem_normal,TN
normal_mem_01,38,147371,0,0,0.33423565023924956,mem_normal,TN
normal_mem_01,40,147371,0,0,0.32996859359946745,mem_normal,TN
normal_mem_01,42,147369,0,0,0.3344546643875523,mem_normal,TN
normal_mem_01,44,147369,0,0,0.3294030137852967,mem_normal,TN
normal_mem_01,46,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,48,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,50,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,52,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,54,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,56,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,58,147369,0,0,0.3292099450448433,mem_normal,TN
normal_mem_01,60,147369,0,0,0.32883362218041806,mem_normal,TN
normal_mem_01,62,147365,0,0,0.33950774251635646,mem_normal,TN
normal_mem_01,64,147365,0,0,0.328966664404057,mem_normal,TN
normal_mem_01,66,147364,0,0,0.33243041214532904,mem_normal,TN
normal_mem_01,68,147364,0,0,0.328966664404057,mem_normal,TN
normal_mem_01,70,147369,0,0,0.34048524694280385,mem_normal,TN
normal_mem_01,72,147369,0,0,0.3288845378644738,mem_normal,TN
normal_mem_01,74,147369,0,0,0.3288845378644738,mem_normal,TN
normal_mem_01,76,147369,0,0,0.3288294650623006,mem_normal,TN
normal_mem_01,78,147369,0,0,0.3288294650623006,mem_normal,TN
normal_mem_01,80,147369,0,0,0.3288294650623006,mem_normal,TN
normal_mem_01,82,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,84,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,86,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,88,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,90,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,92,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,94,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,96,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,98,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,100,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,102,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,104,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,106,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,108,147371,0,0,0.33354240179451117,mem_normal,TN
normal_mem_01,110,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,112,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,114,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,116,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,118,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,120,147371,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,122,147369,0,0,0.3332310695192235,mem_normal,TN
normal_mem_01,124,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,126,147369,0,0,0.32858922605394053,mem_normal,TN
normal_mem_01,128,147371,0,0,0.33354240179451117,mem_normal,TN
