run_id,seq_idx,wtime,pss_kb,label,anomaly_type,recon_error,pred,flag_type
anomaly_mem_spike,4,26.0,1173051.0,1,mem_spike,108.30509185791016,1,TP
anomaly_mem_spike,5,28.0,1173051.0,1,mem_spike,108.32221221923828,1,TP
anomaly_mem_spike,6,30.0,1173051.0,1,mem_spike,108.33511352539062,1,TP
anomaly_mem_spike,7,32.0,1173051.0,1,mem_spike,108.3451156616211,1,TP
anomaly_mem_spike,8,34.0,1173051.0,1,mem_spike,108.35321807861328,1,TP
anomaly_mem_spike,9,36.0,1173051.0,1,mem_spike,108.3598861694336,1,TP
anomaly_mem_spike,10,38.0,1173051.0,1,mem_spike,108.36553192138672,1,TP
anomaly_mem_spike,11,40.0,1173051.0,1,mem_spike,108.37035369873047,1,TP
anomaly_mem_spike,12,42.0,1173051.0,1,mem_spike,108.37451171875,1,TP
anomaly_mem_spike,13,44.0,1173051.0,1,mem_spike,108.37812805175781,1,TP
anomaly_mem_spike,14,46.0,1173051.0,1,mem_spike,108.38133239746094,1,TP
anomaly_mem_spike,15,48.0,1173051.0,1,mem_spike,108.38414001464844,1,TP
anomaly_mem_spike,16,50.0,1173051.0,1,mem_spike,108.38668060302734,1,TP
anomaly_mem_spike,17,52.0,1173057.0,1,mem_spike,108.3890380859375,1,TP
anomaly_mem_spike,18,54.0,1173052.0,1,mem_spike,108.3911361694336,1,TP
anomaly_mem_spike,19,56.0,1173052.0,1,mem_spike,108.39297485351562,1,TP
anomaly_mem_spike,20,58.0,1173052.0,1,mem_spike,108.3947525024414,1,TP
anomaly_mem_spike,21,60.0,1173062.0,1,mem_spike,108.39643859863281,1,TP
anomaly_mem_spike,22,62.0,1173062.0,1,mem_spike,108.39800262451172,1,TP
anomaly_mem_spike,23,64.0,1173062.0,1,mem_spike,108.39949798583984,1,TP
anomaly_mem_spike,24,66.0,1173062.0,1,mem_spike,108.40087890625,1,TP
anomaly_mem_spike,25,68.0,1173062.0,1,mem_spike,108.40221405029297,1,TP
anomaly_mem_spike,26,70.0,1173062.0,1,mem_spike,108.40340423583984,1,TP
anomaly_mem_spike,27,72.0,1173058.0,1,mem_spike,108.40441131591797,1,TP
anomaly_mem_spike,28,74.0,1173058.0,1,mem_spike,108.40544128417969,1,TP
anomaly_mem_spike,29,76.0,1173058.0,1,mem_spike,108.4063720703125,1,TP
anomaly_mem_spike,30,78.0,1173058.0,1,mem_spike,108.40729522705078,1,TP
anomaly_mem_spike,31,80.0,1173058.0,1,mem_spike,108.40807342529297,1,TP
anomaly_mem_spike,32,82.0,1173055.0,1,mem_spike,108.4087142944336,1,TP
anomaly_mem_spike,33,84.0,1173055.0,1,mem_spike,108.40933227539062,1,TP
anomaly_mem_spike,34,86.0,1173055.0,1,mem_spike,108.40994262695312,1,TP
anomaly_mem_spike,35,88.0,1173058.0,1,mem_spike,108.41046905517578,1,TP
anomaly_mem_spike,36,90.0,1173058.0,1,mem_spike,108.4110107421875,1,TP
anomaly_mem_spike,37,92.0,1173058.0,1,mem_spike,108.41162109375,1,TP
anomaly_mem_spike,38,94.0,1173058.0,1,mem_spike,108.41212463378906,1,TP
anomaly_mem_spike,39,96.0,1173058.0,1,mem_spike,108.41263580322266,1,TP
anomaly_mem_spike,40,98.0,1173058.0,1,mem_spike,108.41315460205078,1,TP
anomaly_mem_spike,41,100.0,1173058.0,1,mem_spike,108.41363525390625,1,TP
anomaly_mem_spike,42,102.0,1173058.0,1,mem_spike,108.41414642333984,1,TP
anomaly_mem_spike,43,104.0,1173058.0,1,mem_spike,108.4145736694336,1,TP
anomaly_mem_spike,44,106.0,1173058.0,1,mem_spike,108.4150161743164,1,TP
anomaly_mem_spike,45,108.0,1173058.0,1,mem_spike,108.41544342041016,1,TP
anomaly_mem_spike,46,110.0,1173058.0,1,mem_spike,108.41580963134766,1,TP
anomaly_mem_spike,47,112.0,1173058.0,1,mem_spike,108.41612243652344,1,TP
anomaly_mem_spike,48,114.0,1173058.0,1,mem_spike,108.41646575927734,1,TP
anomaly_mem_spike,49,116.0,1173055.0,1,mem_spike,108.41675567626953,1,TP
anomaly_mem_spike,50,118.0,1173055.0,1,mem_spike,108.4171142578125,1,TP
anomaly_mem_spike,51,120.0,1173055.0,1,mem_spike,108.41742706298828,1,TP
anomaly_mem_spike,52,122.0,1173055.0,1,mem_spike,108.41770935058594,1,TP
anomaly_mem_spike,53,124.0,1173055.0,1,mem_spike,108.41795349121094,1,TP
anomaly_mem_spike,54,126.0,1173055.0,1,mem_spike,108.41819763183594,1,TP
anomaly_mem_spike,55,128.0,1173055.0,1,mem_spike,108.41841125488281,1,TP
anomaly_mem_spike,56,130.0,1173055.0,1,mem_spike,108.41864013671875,1,TP
anomaly_mem_spike,57,132.0,1173055.0,1,mem_spike,108.41886901855469,1,TP
anomaly_mem_spike,58,134.0,1173055.0,1,mem_spike,108.41908264160156,1,TP
anomaly_mem_spike,59,136.0,1173055.0,1,mem_spike,108.41928100585938,1,TP
anomaly_mem_spike,60,138.0,1173055.0,1,mem_spike,108.41952514648438,1,TP
anomaly_mem_spike,61,140.0,1173055.0,1,mem_spike,108.41971588134766,1,TP
anomaly_mem_spike,62,142.0,1173055.0,1,mem_spike,108.41995239257812,1,TP
anomaly_mem_spike,63,144.0,1173055.0,1,mem_spike,108.42020416259766,1,TP
anomaly_mem_spike,64,146.0,1173055.0,1,mem_spike,108.42039489746094,1,TP
anomaly_mem_spike,65,148.0,1173055.0,1,mem_spike,108.42057800292969,1,TP
anomaly_mem_spike,66,150.0,1173055.0,1,mem_spike,108.42076873779297,1,TP
anomaly_mem_spike,67,152.0,1173055.0,1,mem_spike,108.42095947265625,1,TP
